candidate_id,source_feature_index,centroid_e_epsg25832,centroid_n_epsg25832,footprint_area_m2,texture_gradient_median,texture_gradient_p10,textureless_threshold_p40,texture_class,nearest_building_distance_m,open_threshold_p50_m,building_fraction_in_10m_ring,open_building_fraction_10m_max,openness_class,visible_view_count,visible_views,max_baseline_height_ratio,view_geometry_class,official_dim_cells,official_dim_hole_ratio,official_dim_density_cells_m2,official_dim_z_median,custom_dim_status,custom_dim_points,custom_dim_density_points_m2,custom_dim_grid_cells_covered,custom_dim_grid_cells_total,custom_dim_hole_ratio,als_points,als_density_points_m2,reference_roof_z_m,selected_positive_control,crs,reference_role
vaihingen_a3_018,18,497176.945,5419331.203,357.202761102,2.223611832,0.745354831,2.315406656,textureless,1.527098082,1.220133762,0.082652469,0.150000000,open,6,10040083;10040084;10050105;10050106;10250133;10250134,0.848032653,good,44324,0.000000,124.086387,276.053650,partial,0,0.000000,0,5717,1.000000,4729,13.238979,273.873000,true,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_019,19,497141.101,5419320.025,7.731333104,5.676462173,0.666667938,2.315406656,other,0.000000000,1.220133762,0.207862378,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.108767526,good,1001,0.000000,129.473143,265.598450,partial,0,0.000000,0,126,1.000000,45,5.820471,265.664000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_020,20,497150.293,5419331.490,356.347772879,2.173064947,0.707106769,2.315406656,textureless,0.000000000,1.220133762,0.070879105,0.150000000,not_open,8,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134,0.987482916,good,44290,0.000000,124.288696,276.572998,partial,0,0.000000,0,5701,1.000000,4239,11.895683,273.859000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_021,21,497113.538,5419335.693,276.236195030,2.006934166,0.527046680,2.315406656,textureless,2.397701329,1.220133762,0.086675750,0.150000000,open,8,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134,0.986631618,good,34328,0.000000,124.270464,273.358429,partial,0,0.000000,0,4442,1.000000,3141,11.370704,275.702000,true,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_022,22,497081.605,5419329.884,441.265711533,3.004626751,0.527046680,2.315406656,other,4.183994091,1.220133762,0.115604459,0.150000000,open,8,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134,0.982771881,good,54852,0.000000,124.306055,275.413605,partial,0,0.000000,0,7058,1.000000,5034,11.408092,276.403500,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_023,23,497104.192,5419302.578,23.577623675,3.856802225,1.269296646,2.315406656,other,1.183249502,1.220133762,0.279511399,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.107768346,good,2964,0.000000,125.712414,270.400299,partial,0,0.000000,0,379,1.000000,228,9.670186,270.238000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_024,24,497098.833,5419318.096,211.501936796,1.740052342,0.372677416,2.315406656,textureless,1.183249502,1.220133762,0.280742668,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.108433576,good,26335,0.000000,124.514226,269.458405,partial,0,0.000000,0,3391,1.000000,3724,17.607404,269.881000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_025,25,497118.437,5419313.721,140.780841661,2.173068523,0.600924492,2.315406656,textureless,5.822908180,1.220133762,0.144731180,0.150000000,open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.112942743,good,17472,0.000000,124.107796,273.380157,partial,0,0.000000,0,2252,1.000000,2270,16.124353,273.562000,true,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_026,26,497117.007,5419295.715,177.939973994,2.522124052,0.372679144,2.315406656,other,2.040623136,1.220133762,0.210339098,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.109991567,good,22065,0.000000,124.002491,274.140930,partial,0,0.000000,0,2852,1.000000,2471,13.886705,272.316000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_027,27,497118.871,5419279.175,161.561394476,2.587361813,0.527046680,2.315406656,other,0.125057648,1.220133762,0.257170592,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.108491149,good,20117,0.000000,124.516132,275.321716,partial,0,0.000000,0,2586,1.000000,499,3.088609,272.535000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_028,28,497106.775,5419264.362,7.690900395,6.637437820,2.605549335,2.315406656,other,1.384280305,1.220133762,0.323963004,0.150000000,not_open,8,10040082;10040083;10050104;10050105;10050106;10250133;10250134;10250135,1.104540909,good,975,0.000000,126.773193,271.054718,partial,0,0.000000,0,124,1.000000,22,2.860523,271.382000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_029,29,497099.858,5419265.448,49.774497655,2.635232449,0.707106769,2.315406656,other,1.257018022,1.220133762,0.179434879,0.150000000,not_open,8,10040082;10040083;10050104;10050105;10050106;10250133;10250134;10250135,1.104919703,good,6232,0.000000,125.204679,272.521790,partial,0,0.000000,0,798,1.000000,153,3.073863,272.574000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_030,30,497112.874,5419267.844,62.042412789,2.333332062,0.471405417,2.315406656,other,0.000000000,1.220133762,0.413446643,0.150000000,not_open,8,10040082;10040083;10050104;10050105;10050106;10250133;10250134;10250135,1.105814342,good,7768,0.000000,125.204673,271.577332,partial,0,0.000000,0,990,1.000000,186,2.997949,271.649000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_031,31,497100.215,5419272.088,7.264502912,1.509230614,0.372677416,2.315406656,other,1.257018022,1.220133762,0.274989280,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.104937067,good,920,0.000000,126.643214,271.657104,partial,0,0.000000,0,117,1.000000,24,3.303736,271.509000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_032,32,497101.646,5419283.736,79.138846670,2.687420368,0.897527218,2.315406656,other,1.884423905,1.220133762,0.228788458,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.106450270,good,9827,0.000000,124.174162,271.310150,partial,0,0.000000,0,1272,1.000000,248,3.133733,271.460500,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_033,33,497083.411,5419301.515,155.350033437,2.603417397,0.833332837,2.315406656,other,3.071169149,1.220133762,0.128944599,0.150000000,open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.111128886,good,19280,0.000000,124.106829,275.641510,partial,0,0.000000,0,2489,1.000000,2379,15.313804,277.238000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_034,34,497083.844,5419276.360,151.590793617,2.713138103,0.849835575,2.315406656,other,4.403523865,1.220133762,0.140760840,0.150000000,open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.109944050,good,18841,0.000000,124.288550,277.215607,partial,0,0.000000,0,2426,1.000000,503,3.318143,279.292000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_035,35,497084.651,5419260.279,131.607135536,2.477680206,0.833334327,2.315406656,other,4.403523865,1.220133762,0.159629986,0.150000000,not_open,7,10040082;10050104;10050105;10050106;10250133;10250134;10250135,1.106512137,good,16279,0.000000,123.693901,278.788177,partial,0,0.000000,0,2109,1.000000,420,3.191316,277.533000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_036,36,497085.532,5419241.003,115.168885654,2.500000000,0.745354831,2.315406656,other,7.468548242,1.220133762,0.047725581,0.150000000,open,6,10050104;10050105;10050106;10250133;10250134;10250135,0.935208234,good,14328,0.000000,124.408601,278.712372,partial,0,0.000000,0,1846,1.000000,379,3.290819,277.254000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_037,37,497091.985,5419218.969,214.921489491,2.315407038,0.372679144,2.315406656,other,10.702640780,1.220133762,0.000000000,0.150000000,open,6,10050104;10050105;10050106;10250133;10250134;10250135,0.938065422,good,26751,0.000000,124.468707,278.450409,partial,0,0.000000,0,3439,1.000000,724,3.368672,280.117500,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_038,38,497122.884,5419222.704,182.237317815,2.006932259,0.666667938,2.315406656,textureless,8.859472318,1.220133762,0.012605456,0.150000000,open,6,10050104;10050105;10050106;10250133;10250134;10250135,0.938586733,good,22757,0.000000,124.875631,275.890778,partial,0,0.000000,0,2917,1.000000,583,3.199125,277.579000,true,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_039,39,497104.622,5419246.574,90.494573720,2.315406084,0.833334327,2.315406656,textureless,0.416404499,1.220133762,0.169484901,0.150000000,not_open,6,10050104;10050105;10050106;10250133;10250134;10250135,0.933579057,good,11286,0.000000,124.714660,272.988037,partial,0,0.000000,0,1450,1.000000,277,3.060957,273.190000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_040,40,497103.276,5419251.365,3.492045704,10.790208817,0.372682542,2.315406656,other,0.416404499,1.220133762,0.259840616,0.150000000,not_open,7,10040082;10050104;10050105;10050106;10250133;10250134;10250135,1.103420885,good,446,0.000000,127.718832,272.368042,partial,0,0.000000,0,58,1.000000,10,2.863651,272.604000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_041,41,497110.713,5419253.155,8.690597236,3.018461466,0.971827507,2.315406656,other,0.695233225,1.220133762,0.382440023,0.150000000,not_open,7,10040082;10050104;10050105;10050106;10250133;10250134;10250135,1.104118078,good,1103,0.000000,126.918780,272.159088,partial,0,0.000000,0,140,1.000000,27,3.106806,272.205000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_042,42,497121.340,5419243.180,168.307734922,1.802775621,0.471405417,2.315406656,textureless,1.723662155,1.220133762,0.170043007,0.150000000,not_open,6,10050104;10050105;10050106;10250133;10250134;10250135,0.938689629,good,20972,0.000000,124.605087,276.652740,partial,0,0.000000,0,2695,1.000000,517,3.071754,277.884000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_043,43,497122.042,5419259.414,145.221532944,2.321400166,0.687185824,2.315406656,other,0.000000000,1.220133762,0.264823557,0.150000000,not_open,7,10040082;10050104;10050105;10050106;10250133;10250134;10250135,1.108907300,good,18201,0.000000,125.332653,276.049652,partial,0,0.000000,0,2325,1.000000,440,3.029854,275.705500,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_044,44,497183.843,5419297.174,496.082530886,2.403697968,0.745355725,2.315406656,other,3.509680672,1.220133762,0.025511194,0.150000000,open,7,10040083;10040084;10050105;10050106;10250133;10250134;10250135,1.008509340,good,61600,0.000000,124.172887,275.893372,partial,0,0.000000,0,7941,1.000000,8242,16.614171,273.304500,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_045,45,497188.435,5419256.915,72.196908360,2.848000765,0.527046084,2.315406656,other,0.000000000,1.220133762,0.321581442,0.150000000,not_open,5,10050105;10050106;10250133;10250134;10250135,0.768292295,good,9015,0.000000,124.866843,271.250732,partial,0,0.000000,0,1153,1.000000,270,3.739772,271.430000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_046,46,497181.307,5419272.199,19.125942407,5.168011665,0.897528589,2.315406656,other,2.639973262,1.220133762,0.166854317,0.150000000,not_open,7,10040083;10040084;10050105;10050106;10250133;10250134;10250135,1.002585081,good,2384,0.000000,124.647453,269.716248,partial,0,0.000000,0,304,1.000000,69,3.607665,269.722000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_047,47,497193.166,5419266.767,129.726076848,0.849837065,0.333333969,2.315406656,textureless,0.000000000,1.220133762,0.171307948,0.150000000,not_open,6,10040083;10050105;10050106;10250133;10250134;10250135,1.009717231,good,16200,0.000000,124.878516,275.489838,partial,0,0.000000,0,2078,1.000000,478,3.684687,277.604000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_048,48,497194.773,5419248.731,120.793160676,1.771688342,0.527046084,2.315406656,textureless,0.000000000,1.220133762,0.188896045,0.150000000,not_open,5,10050105;10050106;10250133;10250134;10250135,0.773578583,good,15113,0.000000,125.114700,275.631683,partial,0,0.000000,0,1933,1.000000,442,3.659148,277.671000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_049,49,497176.050,5419253.530,7.347714371,6.838410378,2.553295135,2.315406656,other,2.613101560,1.220133762,0.145326578,0.150000000,open,6,10040082;10050105;10050106;10250133;10250134;10250135,1.107763604,good,942,0.000000,128.203133,270.803284,partial,0,0.000000,0,120,1.000000,27,3.674612,270.503000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_050,50,497168.865,5419252.654,35.215536884,3.011545658,0.897527933,2.315406656,other,2.613101560,1.220133762,0.079347517,0.150000000,open,6,10040082;10050105;10050106;10250133;10250134;10250135,1.109081188,good,4398,0.000000,124.888058,272.470398,partial,0,0.000000,0,564,1.000000,136,3.861932,272.720000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_051,51,497161.277,5419284.406,207.895799591,2.713134289,0.745356560,2.315406656,other,0.048625438,1.220133762,0.242418097,0.150000000,not_open,8,10040082;10040083;10040084;10050105;10050106;10250133;10250134;10250135,1.113604209,good,26064,0.000000,125.370498,273.315247,partial,0,0.000000,0,3329,1.000000,1412,6.791864,274.104000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_052,52,497146.331,5419292.654,326.750620765,2.088326216,0.372680843,2.315406656,textureless,0.056140004,1.220133762,0.151434852,0.150000000,not_open,9,10040082;10040083;10040084;10050104;10050105;10050106;10250133;10250134;10250135,1.113441389,good,40595,0.000000,124.238479,275.306122,partial,0,0.000000,0,5230,1.000000,4186,12.810993,274.007500,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_053,53,497151.983,5419246.146,160.065628682,2.426706076,0.745358288,2.315406656,other,6.238807562,1.220133762,0.076457869,0.150000000,open,6,10050104;10050105;10050106;10250133;10250134;10250135,0.941078755,good,19847,0.000000,123.992891,277.198059,partial,0,0.000000,0,2564,1.000000,598,3.735968,278.681000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_054,54,497150.486,5419264.940,205.490823693,2.061552763,0.600924492,2.315406656,textureless,0.048625438,1.220133762,0.165685578,0.150000000,not_open,8,10040082;10040083;10050104;10050105;10050106;10250133;10250134;10250135,1.109949406,good,25553,0.000000,124.351052,274.950104,partial,0,0.000000,0,3287,1.000000,745,3.625466,273.286000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_055,55,497145.924,5419226.915,7.872176683,5.013865471,1.536588788,2.315406656,other,11.886686437,1.220133762,0.000000000,0.150000000,open,6,10050104;10050105;10050106;10250133;10250134;10250135,0.935829313,good,1031,0.000000,130.967589,272.513184,partial,0,0.000000,0,126,1.000000,25,3.175742,272.440000,false,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
vaihingen_a3_056,56,497180.454,5419227.859,279.084605257,1.900290847,0.500000000,2.315406656,textureless,4.008881777,1.220133762,0.030691111,0.150000000,open,5,10050105;10050106;10250133;10250134;10250135,0.769338049,good,34670,0.000000,124.227562,274.299377,partial,0,0.000000,0,4464,1.000000,1011,3.622557,273.868000,true,EPSG:25832,footprint/roof reference used only for pilot candidate definition and measurement; not GS training input
