building_id,cohort,footprint_area_m2,dim_point_count,dim_density_pts_m2,dim_hole_ratio,dim_plane_rmse_m,als_density_pts_m2,als_hole_ratio,als_plane_rmse_m,view_count,median_incidence_deg,median_in_frame_sample_fraction,occlusion_risk_view_fraction,classification,surface_forming_recoverable,classification_note,dim_reason
DEBY_LOD2_4907178,control_success_71,192.957,101914,528.169,0.005,0.590,19.880,0.000,0.923,283,67.53,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907179,control_success_71,160.359,36609,228.294,0.006,0.618,18.777,0.000,1.122,278,56.67,1.000,0.036,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907180,control_success_71,386.109,109296,283.070,0.203,0.813,17.402,0.000,1.569,296,64.15,0.842,0.074,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907183,control_success_71,361.680,226646,626.648,0.003,0.731,19.932,0.000,0.783,289,63.42,0.982,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907196,control_success_71,427.391,326601,764.174,0.035,0.924,20.548,0.000,1.176,293,58.41,0.983,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907201,control_success_71,190.867,83452,437.226,0.005,0.524,19.406,0.010,0.558,304,61.52,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907204,control_success_71,224.359,101104,450.635,0.000,0.495,19.295,0.000,0.467,325,61.84,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907205,control_success_71,105.059,5584,53.151,0.274,0.204,19.275,0.000,0.241,296,59.56,1.000,0.750,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907206,control_success_71,201.945,111173,550.511,0.000,0.696,19.486,0.000,0.747,321,60.22,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907207,control_success_71,324.508,63790,196.575,0.185,0.558,21.756,0.000,0.777,278,63.17,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907506,control_success_71,283.363,112311,396.350,0.092,1.109,22.325,0.000,1.058,284,56.10,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907507,control_success_71,283.699,207486,731.360,0.000,0.906,21.872,0.000,1.280,292,54.40,1.000,0.045,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907509,control_success_71,322.402,22735,70.518,0.059,0.640,19.469,0.000,0.515,248,59.37,0.875,0.117,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907514,control_success_71,300.688,229373,762.827,0.000,0.689,22.987,0.003,0.575,262,56.80,0.992,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907515,control_success_71,306.219,191571,625.601,0.000,0.488,18.333,0.000,0.327,280,51.85,0.983,0.064,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907516,control_success_71,178.775,123350,689.973,0.000,0.866,20.310,0.000,0.819,280,47.33,1.000,0.086,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907517,control_success_71,196.965,134322,681.959,0.000,0.797,20.176,0.000,0.979,224,56.70,1.000,0.027,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907518,control_success_71,251.199,161921,644.593,0.000,0.427,21.174,0.000,0.408,242,59.42,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4907519,control_success_71,3981.406,115080,28.904,0.634,1.175,18.247,0.000,0.979,223,65.08,0.583,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4908023,control_success_71,21.914,16849,768.869,0.000,0.040,20.444,0.000,0.059,377,57.54,1.000,0.342,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4908024,control_success_71,21.670,21489,991.647,0.000,0.033,21.920,0.000,0.010,367,57.55,1.000,0.586,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4908025,control_success_71,21.580,18996,880.259,0.000,0.036,20.019,0.000,0.010,376,57.83,1.000,0.564,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4908026,control_success_71,21.631,15544,718.598,0.000,0.048,19.555,0.000,0.012,382,57.23,1.000,0.539,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4908027,control_success_71,21.586,14633,677.893,0.000,0.048,19.596,0.000,0.016,376,57.16,1.000,0.436,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4908028,control_success_71,21.635,10931,505.246,0.000,0.034,20.060,0.000,0.034,380,56.07,1.000,0.384,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4908352,control_success_71,29.814,1318,44.207,0.032,0.059,17.878,0.000,0.052,255,58.76,1.000,0.549,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4908353,control_success_71,145.523,26037,178.920,0.000,0.223,19.866,0.000,0.181,260,58.76,1.000,0.265,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959322,control_success_71,391.506,329959,842.794,0.000,0.800,21.685,0.000,0.706,387,59.81,1.000,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959323,control_success_71,1358.777,719289,529.365,0.000,2.083,19.674,0.000,0.798,378,61.94,0.857,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959324,control_success_71,44.051,16877,383.124,0.000,1.902,15.550,0.000,4.743,390,59.21,1.000,0.438,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959325,control_success_71,825.008,168320,204.022,0.000,1.441,11.130,0.000,1.532,270,68.08,0.683,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959327,control_success_71,495.180,100711,203.383,0.000,0.985,16.065,0.000,0.865,233,72.42,0.917,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959336,control_success_71,609.047,58521,96.086,0.075,0.422,18.739,0.000,1.096,186,80.65,0.883,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959340,control_success_71,384.723,38076,98.970,0.000,0.344,11.455,0.000,0.300,212,72.94,0.915,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959457,control_success_71,1371.824,538005,392.182,0.084,2.257,17.970,0.086,0.061,376,63.00,0.867,0.572,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959458,control_success_71,601.391,610121,1014.516,0.000,0.614,20.868,0.000,0.707,396,61.41,0.973,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959459,control_success_71,372.990,179887,482.284,0.000,3.612,16.553,0.000,1.138,477,59.20,1.000,0.090,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959460,control_success_71,4699.410,1686913,358.963,0.224,0.652,14.415,0.000,1.260,398,56.70,0.550,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959461,control_success_71,906.402,158007,174.323,0.000,0.799,11.299,0.000,0.663,241,67.02,0.754,0.000,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959463,control_success_71,61.305,8460,137.999,0.000,2.492,20.129,0.000,1.807,183,79.73,1.000,0.743,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959464,control_success_71,219.352,41711,190.156,0.000,0.289,19.567,0.000,0.066,185,62.14,1.000,0.151,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_4959793,control_success_71,193.930,47138,243.067,0.005,0.366,17.914,0.000,0.384,424,59.88,1.000,0.311,control_success,,Control-success row used only for threshold distribution.,success
DEBY_LOD2_8573849,control_success_71,840.703,179980,214.083,0.001,0.682,12.845,0.000,0.751,209,68.17,0.800,0.144,control_success,,Control-success row used only for threshold distribution.,success
