building_id,card_type,figure,locator_view,locator_zenith_deg,view_reason,neighbor_ids,neighbor_rings_drawn,manual_batch,manual_source,area_m2,small_flag,elong_flag,bbox_aspect_ratio,isoperimetric,dim_density,n_views_nadir,inc60,recon_score,occlusion,lowtex_v5,lowtex_v5_zenith_deg,veto_recovered,dim_points_in_footprint,dim_points_plotted,dim_source,als_points_in_footprint,als_points_plotted,als_source,als_marker_scale,observation
DEBY_LOD2_4907019,manual_review,docs/judgment_kit_v4/4907019.png,DJI_20241217101530_0002_D.JPG,76.952,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907022;DEBY_LOD2_4908045;DEBY_LOD2_4908049,3,,docs/manual_review_judgments.csv missing,206.425,0,0,1.242,1.359,0.000000,0.0,0.175,0.318,0.0,0.671,84.752,raw_acmp,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907019_orig_classified.las,3816,3816,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907019_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907021,manual_review,docs/judgment_kit_v4/4907021.png,DJI_20241217101530_0002_D.JPG,76.106,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907022;DEBY_LOD2_4908050;DEBY_LOD2_4908051,3,,docs/manual_review_judgments.csv missing,249.026,0,0,1.315,1.413,0.000000,0.0,0.148,72.404,0.0,0.239,61.739,raw_acmp,0,100,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907021_orig_classified.las,2702,2702,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907021_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907022,manual_review,docs/judgment_kit_v4/4907022.png,DJI_20241217101530_0002_D.JPG,76.512,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907019;DEBY_LOD2_4907021;DEBY_LOD2_4908048,3,,docs/manual_review_judgments.csv missing,240.898,0,0,1.322,1.41,0.000000,0.0,0.125,64.384,0.0,0.706,86.536,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907022_orig_classified.las,2663,2663,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907022_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907027,manual_review,docs/judgment_kit_v4/4907027.png,DJI_20241217101453_0037_D.JPG,74.996,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907030;DEBY_LOD2_4907028;DEBY_LOD2_4907171,3,,docs/manual_review_judgments.csv missing,264.334,0,0,1.287,1.385,4.352941,0.0,0.263,11.702,0.0,0.708,86.657,,3,3,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907027_orig_classified.las,2945,2945,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907027_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907030,manual_review,docs/judgment_kit_v4/4907030.png,DJI_20241217102939_0015_D.JPG,67.675,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907031;DEBY_LOD2_4907033;DEBY_LOD2_4907170,3,,docs/manual_review_judgments.csv missing,177.417,0,0,1.073,1.336,0.000000,0.0,0.228,3.245,0.0,0.644,85.964,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907030_orig_classified.las,1929,1929,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907030_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907031,manual_review,docs/judgment_kit_v4/4907031.png,DJI_20241217102939_0015_D.JPG,68.979,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907033;DEBY_LOD2_4907030;DEBY_LOD2_4907036,3,,docs/manual_review_judgments.csv missing,163.719,0,0,1.069,1.28,0.000000,0.0,0.199,0.912,0.0,0.578,83.914,,0,0,fallback_global,1717,1717,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907031_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907032,manual_review,docs/judgment_kit_v4/4907032.png,DJI_20241217102939_0015_D.JPG,72.803,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907035;DEBY_LOD2_4907036;DEBY_LOD2_4907033,3,,docs/manual_review_judgments.csv missing,375.518,0,0,1.586,1.774,0.000000,0.0,0.216,0.0,0.0,0.519,86.139,,0,0,fallback_global,5104,5105,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907032_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907033,manual_review,docs/judgment_kit_v4/4907033.png,DJI_20241217102939_0015_D.JPG,70.091,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907031;DEBY_LOD2_4907036;DEBY_LOD2_4907030,3,,docs/manual_review_judgments.csv missing,128.952,0,0,1.038,1.275,0.000000,0.0,0.251,0.0,0.0,0.719,84.315,,0,0,fallback_global,1311,1311,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907033_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907034,manual_review,docs/judgment_kit_v4/4907034.png,DJI_20241217101530_0002_D.JPG,78.87,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_8573617;DEBY_LOD2_4908059;DEBY_LOD2_107807336,3,,docs/manual_review_judgments.csv missing,549.508,0,0,1.831,2.264,0.000000,0.0,0.321,0.0,0.0,0.497,86.536,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907034_orig_classified.las,10495,10495,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907034_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907036,manual_review,docs/judgment_kit_v4/4907036.png,DJI_20241217102939_0015_D.JPG,71.268,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907033;DEBY_LOD2_4907035;DEBY_LOD2_4907031,3,,docs/manual_review_judgments.csv missing,187.848,0,0,1.138,1.301,0.000000,0.0,0.225,0.0,0.0,0.549,84.245,,0,0,fallback_global,2076,2076,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907036_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907167,manual_review,docs/judgment_kit_v4/4907167.png,DJI_20241217102939_0015_D.JPG,67.383,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907166;DEBY_LOD2_4907168;DEBY_LOD2_4908161,3,,docs/manual_review_judgments.csv missing,203.195,0,0,1.18,1.326,8.396285,0.0,0.745,0.09,0.0,0.648,83.357,,154,154,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907167_orig_classified.las,3821,3821,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907167_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907174,manual_review,docs/judgment_kit_v4/4907174.png,DJI_20241217102939_0015_D.JPG,57.067,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_42364607;DEBY_LOD2_4908158;DEBY_LOD2_4908159,3,,docs/manual_review_judgments.csv missing,260.425,0,0,1.503,2.047,0.000000,0.0,0.132,83.247,0.0,0.533,61.575,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907174_orig_classified.las,4782,4782,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907174_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907187,manual_review,docs/judgment_kit_v4/4907187.png,DJI_20241217102929_0010_D.JPG,55.059,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_104583794;DEBY_LOD2_4908157;DEBY_LOD2_4907181,3,,docs/manual_review_judgments.csv missing,119.911,0,0,1.012,1.713,0.000000,0.0,0.45,83.434,0.25,0.541,74.011,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907187_orig_classified.las,2087,2087,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907187_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4907199,manual_review,docs/judgment_kit_v4/4907199.png,DJI_20241217095441_0023_D.JPG,22.54,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908178;DEBY_LOD2_4907202;DEBY_LOD2_8568391,3,,docs/manual_review_judgments.csv missing,98.346,0,0,1.272,1.362,10.666667,0.0,0.109,84.618,0.273,0.656,60.507,raw_acmp,2,2,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907199_orig_classified.las,2034,2034,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907199_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908044,manual_review,docs/judgment_kit_v4/4908044.png,DJI_20241217101530_0002_D.JPG,75.504,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908045;DEBY_LOD2_4907014;DEBY_LOD2_4907019,3,,docs/manual_review_judgments.csv missing,46.303,1,0,1.243,1.351,0.000000,0.0,0.053,68.517,0.857,0.312,60.302,,0,0,fallback_global,800,800,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908044_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908045,manual_review,docs/judgment_kit_v4/4908045.png,DJI_20241217101530_0002_D.JPG,75.201,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908044;DEBY_LOD2_4907019;DEBY_LOD2_4907014,3,,docs/manual_review_judgments.csv missing,55.841,0,0,1.336,1.413,0.000000,0.0,0.067,71.143,0.8,0.539,60.202,,0,0,fallback_global,887,887,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908045_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908049,manual_review,docs/judgment_kit_v4/4908049.png,DJI_20241217090821_0013_D.JPG,23.626,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908048;DEBY_LOD2_4907024;DEBY_LOD2_4908046,3,,docs/manual_review_judgments.csv missing,49.086,1,0,1.215,1.347,23.692308,0.0,0.437,106.77,0.6,0.482,59.928,,154,200,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908049_orig_classified.las,556,556,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908049_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908051,manual_review,docs/judgment_kit_v4/4908051.png,DJI_20241217101453_0037_D.JPG,72.868,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908053;DEBY_LOD2_4908052;DEBY_LOD2_4908054,3,,docs/manual_review_judgments.csv missing,141.529,0,0,1.728,1.964,0.000000,0.0,0.103,66.734,1.0,0.197,60.606,,0,0,fallback_global,1405,1405,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908051_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908052,manual_review,docs/judgment_kit_v4/4908052.png,DJI_20241217101453_0037_D.JPG,74.059,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908051;DEBY_LOD2_4908053;DEBY_LOD2_4907030,3,,docs/manual_review_judgments.csv missing,143.561,0,0,1.813,2.204,0.000000,0.0,0.001,55.406,0.5,0.327,59.692,,0,0,fallback_global,1553,1553,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908052_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908053,manual_review,docs/judgment_kit_v4/4908053.png,DJI_20241217101453_0037_D.JPG,74.164,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908054;DEBY_LOD2_4908051;DEBY_LOD2_4908052,3,,docs/manual_review_judgments.csv missing,36.308,1,0,1.081,1.283,0.000000,0.0,0.0,57.838,0.25,0.344,60.065,,0,0,fallback_global,393,393,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908053_orig_classified.las,3,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908054,manual_review,docs/judgment_kit_v4/4908054.png,DJI_20241217101453_0037_D.JPG,74.455,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908053;DEBY_LOD2_4908051;DEBY_LOD2_4908052,3,,docs/manual_review_judgments.csv missing,33.607,1,0,1.044,1.276,0.000000,0.0,0.0,61.151,0.25,0.653,59.365,raw_acmp,0,0,fallback_global,368,368,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908054_orig_classified.las,3,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908157,manual_review,docs/judgment_kit_v4/4908157.png,DJI_20241217102935_0013_D.JPG,55.444,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_104583794;DEBY_LOD2_4907187;DEBY_LOD2_4908159,3,,docs/manual_review_judgments.csv missing,165.053,0,0,1.166,1.682,0.000000,0.0,0.102,70.6,0.7,0.517,73.659,raw_acmp,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908157_orig_classified.las,1965,1965,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908157_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908158,manual_review,docs/judgment_kit_v4/4908158.png,DJI_20241217102939_0015_D.JPG,58.001,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908159;DEBY_LOD2_4907174;DEBY_LOD2_4908157,3,,docs/manual_review_judgments.csv missing,182.586,0,0,1.747,2.076,0.000000,0.0,0.093,45.769,0.0,0.602,76.162,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908158_orig_classified.las,3554,3554,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908158_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908159,manual_review,docs/judgment_kit_v4/4908159.png,DJI_20241217102935_0013_D.JPG,54.095,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907175;DEBY_LOD2_4908157;DEBY_LOD2_4908158,3,,docs/manual_review_judgments.csv missing,37.636,1,0,1.046,1.28,0.000000,0.0,0.002,40.581,0.667,0.65,59.489,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908159_orig_classified.las,462,462,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908159_orig_classified.las,3,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908160,manual_review,docs/judgment_kit_v4/4908160.png,DJI_20241217102939_0015_D.JPG,60.414,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907169;DEBY_LOD2_4907168;DEBY_LOD2_4907170,3,,docs/manual_review_judgments.csv missing,8.493,1,0,1.328,1.431,0.000000,0.0,0.075,70.89,1.0,0.59,59.288,,0,8,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908160_orig_classified.las,70,70,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908160_orig_classified.las,3,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908161,manual_review,docs/judgment_kit_v4/4908161.png,DJI_20241217102939_0015_D.JPG,58.496,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4907174;DEBY_LOD2_4908158;DEBY_LOD2_42364607,3,,docs/manual_review_judgments.csv missing,454.5,0,1,1.327,5.243,0.000000,0.0,0.127,85.954,0.7,0.391,75.204,raw_acmp,0,2287,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908161_orig_classified.las,7328,7328,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908161_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908162,manual_review,docs/judgment_kit_v4/4908162.png,DJI_20241217102939_0015_D.JPG,57.059,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908164;DEBY_LOD2_4908163;DEBY_LOD2_42364607,3,,docs/manual_review_judgments.csv missing,104.741,0,0,1.009,1.709,0.000000,0.0,0.161,101.797,0.364,0.533,60.444,,0,5,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908162_orig_classified.las,2110,2110,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908162_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908164,manual_review,docs/judgment_kit_v4/4908164.png,DJI_20241217102939_0015_D.JPG,55.863,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908162;DEBY_LOD2_4908163;DEBY_LOD2_42364607,3,,docs/manual_review_judgments.csv missing,33.273,1,0,1.262,1.378,0.000000,0.0,0.187,104.52,0.417,0.734,59.974,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908164_orig_classified.las,567,567,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908164_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908165,manual_review,docs/judgment_kit_v4/4908165.png,DJI_20241217084827_0177_D.JPG,26.012,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_60097;DEBY_LOD2_4908166;DEBY_LOD2_42364609,3,,docs/manual_review_judgments.csv missing,8.825,1,0,1.42,1.501,5.250000,0.0,0.125,93.768,0.727,0.502,59.844,,22,22,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908165_orig_classified.las,166,166,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908165_orig_classified.las,3,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908167,manual_review,docs/judgment_kit_v4/4908167.png,DJI_20241217084829_0178_D.JPG,19.496,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908166;DEBY_LOD2_42364609;DEBY_LOD2_104583447,3,,docs/manual_review_judgments.csv missing,33.591,1,0,1.025,1.275,0.000000,1.88,0.264,163.982,0.625,0.729,29.811,raw_acmp,0,758,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908167_orig_classified.las,603,603,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908167_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908169,manual_review,docs/judgment_kit_v4/4908169.png,DJI_20241217084847_0187_D.JPG,21.096,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908168;DEBY_LOD2_4907185;DEBY_LOD2_60098,2,,docs/manual_review_judgments.csv missing,16.935,1,0,1.118,1.366,0.000000,3.0,0.163,127.817,0.857,0.821,59.649,raw_acmp,0,2568,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908169_orig_classified.las,290,290,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908169_orig_classified.las,3,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
DEBY_LOD2_4908170,manual_review,docs/judgment_kit_v4/4908170.png,DJI_20241217102919_0005_D.JPG,58.521,center_inframe_min_zenith_neighbor_centers_3,DEBY_LOD2_4908172;DEBY_LOD2_104583794;DEBY_LOD2_4907187,3,,docs/manual_review_judgments.csv missing,72.814,0,0,1.47,1.552,0.000000,0.0,0.053,49.008,0.571,0.603,60.539,,0,0,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4908170_orig_classified.las,1427,1427,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4908170_orig_classified.las,1,"4-panel kit: locator, roof close-up, DIM top-view, ALS top-view; render only."
