bid,bid_int,source,class_id,class_name,support_distance_m,accepted_count,rejected_count,accepted_fraction,accepted_confidence_mean,rejected_confidence_mean,accepted_entropy_mean,rejected_entropy_mean,accepted_geometric_error_mean,rejected_geometric_error_mean
B126,126,E1_Baseline_rendered,1,roof,0.75,3238,9556,0.25308738471158354,0.960766919007855,0.9206961870159176,0.060494692725749664,0.04339068602441329,0.46128155699786777,2.3027243013408945
B126,126,E1_Baseline_rendered,2,wall,0.75,2751,1001,0.7332089552238806,0.9228814327551078,0.8471164865034086,0.05493342124039478,0.1569464317416006,0.3680518804881282,3.8314536178813206
B126,126,E1_Baseline_rendered,3,ground,0.75,187,171,0.5223463687150838,0.5962508174984212,0.5151418420480706,0.10567566713626075,0.14168153325288438,0.538323266454182,1.3658865619944462
B126,126,E2_Mutual_rendered,1,roof,0.75,3328,9671,0.25601969382260176,0.9709689433489425,0.9030017491633046,0.039042272977713295,0.03761568910797236,0.4451123639520859,2.3140416772543095
B126,126,E2_Mutual_rendered,2,wall,0.75,2817,996,0.7387883556254917,0.9247719362896514,0.846358455201409,0.041829575914238325,0.12312035023554138,0.3660343187241526,3.768629421676181
B126,126,E2_Mutual_rendered,3,ground,0.75,221,146,0.6021798365122616,0.6203112855755906,0.5111925806084724,0.08454624561901622,0.1298934189408973,0.5126633120158912,1.2056926295295298
B50,50,E1_Baseline_rendered,1,roof,0.75,2210,1047,0.6785385323917715,0.9764022703084471,0.9769596787669483,0.04538775785127918,0.04697466902318911,0.4265234076623859,1.0975927637409906
B50,50,E1_Baseline_rendered,2,wall,0.75,687,185,0.7878440366972477,0.7902563412875762,0.8578045926384024,0.08669674596568777,0.20432497824170953,0.37882329290227523,2.1194624466398837
B50,50,E1_Baseline_rendered,3,ground,0.75,69,27,0.71875,0.23032091968301413,0.24192231369239312,0.27622945984636527,0.2742399783046157,0.4991968665735153,1.0014827175307053
B50,50,E2_Mutual_rendered,1,roof,0.75,2278,997,0.6955725190839694,0.9817218021199408,0.9809769536690822,0.0339164332406628,0.0363947535753089,0.42453243462687124,1.1176197111262554
B50,50,E2_Mutual_rendered,2,wall,0.75,665,185,0.7823529411764706,0.8173962557226195,0.8561638288401269,0.0564274118244427,0.17074310747321342,0.38437629402226986,2.0780247761274993
B50,50,E2_Mutual_rendered,3,ground,0.75,13,8,0.6190476190476191,0.24141784929312193,0.29164171032607555,0.1426155504125815,0.13740238617174327,0.49850332500285144,1.2235842643918637
B104,104,E1_Baseline_rendered,1,roof,0.75,427,18,0.9595505617977528,0.9619405437827948,0.6633735199769338,0.05315814772537303,0.40551717278625193,0.27094952657498567,1.0408352294956194
B104,104,E1_Baseline_rendered,2,wall,0.75,80,3,0.963855421686747,0.6925998013466597,0.9861284693082174,0.23114942799584243,0.0581249954799811,0.21780606085864665,8.962648232502483
B104,104,E1_Baseline_rendered,3,ground,0.75,111,49,0.69375,0.3949932305662482,0.3864351273799429,0.22124432758973525,0.26791777507382997,0.44743195318763984,1.2860932474737787
B104,104,E2_Mutual_rendered,1,roof,0.75,403,17,0.9595238095238096,0.9198703805063262,0.8631839699604932,0.03905290563032183,0.11827304042355322,0.29865604381356975,1.5736085211202104
B104,104,E2_Mutual_rendered,2,wall,0.75,76,7,0.9156626506024096,0.4833611260707441,0.873925234590258,0.3209913287397572,0.16516365629753896,0.21138218121765298,8.56254021500264
B104,104,E2_Mutual_rendered,3,ground,0.75,45,56,0.44554455445544555,0.223664296997918,0.2383910651717867,0.3586088400748041,0.31589563989213537,0.44072655757741297,1.4811003289087978
