stable_id,unit_semantics,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,independent_reference_component_ids,independent_reference_component_count,independent_reference_score_cells,current_image_view_support,mvs_support_cells,c4_support_cells,c5_prior_available_by_stable_id,c5_input_alignment_ready,u_target,e_paired,execution_tile_id,spatial_group_id,split,held_out_accessed,exclusion_reason
DEBY_LOD2_42364657,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691120.332,5336342.959,691141.893,5336355.188,,0,0,55,141,129,true,true,true,false,TILE_006_009,GROUP_9b53e19602044932,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_42364659,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691087.347,5336287.938,691096.696,5336301.268,,0,0,85,144,107,true,true,true,false,TILE_006_008,GROUP_bf7c45313ca8512b,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_42364661,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691082.728,5336353.129,691093.350,5336362.490,,0,0,59,0,10,true,true,true,false,TILE_005_009,GROUP_03be68f110a2a800,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_42364663,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690916.959,5336090.729,690928.798,5336117.968,UASREF_0ecbec5e048f8a0523f7,1,68,260,354,267,true,true,true,true,TILE_002_004,GROUP_ccf535781f75c1c0,development,false,
DEBY_LOD2_42364665,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690878.019,5336057.014,690905.793,5336062.468,,0,0,257,195,81,true,true,true,false,TILE_002_003,GROUP_157737f6c7f694d9,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_42364667,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690891.702,5336091.347,690917.651,5336095.022,,0,0,256,108,72,true,true,true,false,TILE_002_004,GROUP_ccf535781f75c1c0,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906965,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690825.810,5335938.400,690928.630,5336024.430,,0,0,464,7076,5725,true,true,true,false,TILE_001_002,GROUP_ad345227d99d538c,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906966,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690845.610,5336017.780,690892.670,5336102.170,,0,0,351,3064,1929,true,true,true,false,TILE_001_003,GROUP_413429cde91f40d5,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906967,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690870.030,5335963.820,690944.530,5336024.550,,0,0,426,4070,3201,true,true,true,false,TILE_002_002,GROUP_9dd01a0016ca842a,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906968,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690891.410,5336021.120,690949.090,5336138.380,UASREF_0ecbec5e048f8a0523f7,1,913,442,6523,3250,true,true,true,true,TILE_002_004,GROUP_ccf535781f75c1c0,development,false,
DEBY_LOD2_4906969,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690916.690,5336008.570,690935.670,5336025.350,,0,0,299,358,242,true,true,true,false,TILE_002_003,GROUP_157737f6c7f694d9,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906970,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690921.810,5335934.310,690938.280,5335950.210,,0,0,235,278,230,true,true,true,false,TILE_002_001,GROUP_798abb6dfba1d354,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906972,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690933.230,5335923.580,690964.540,5335948.060,UASREF_e21d1672f78b9b92c26d,1,34,252,722,616,true,true,true,true,TILE_003_001,GROUP_ca1040234a79aaa8,held_out,false,
DEBY_LOD2_4906973,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690945.440,5335938.350,690957.250,5335947.120,,0,0,206,130,99,true,true,true,false,TILE_003_001,GROUP_ca1040234a79aaa8,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906974,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690955.350,5335934.730,690976.130,5335968.040,UASREF_e21d1672f78b9b92c26d,1,137,242,642,379,true,true,true,true,TILE_003_001,GROUP_ca1040234a79aaa8,held_out,false,
DEBY_LOD2_4906975,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690932.400,5336076.700,690990.560,5336124.070,UASREF_0ecbec5e048f8a0523f7,1,122,352,2727,2172,true,true,true,true,TILE_003_004,GROUP_ccf535781f75c1c0,development,false,
DEBY_LOD2_4906976,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690960.680,5335914.810,690989.300,5335934.250,,0,0,210,528,455,true,true,true,false,TILE_003_001,GROUP_ca1040234a79aaa8,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906977,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690976.810,5335924.440,691002.690,5335963.330,,0,0,221,994,858,true,true,true,false,TILE_003_001,GROUP_ca1040234a79aaa8,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906980,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690997.140,5335971.160,691009.140,5335978.990,,0,0,172,90,84,true,true,true,false,TILE_004_002,GROUP_ec832e65788b5fcd,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906981,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690985.320,5335907.260,691027.290,5335975.310,,0,0,228,2335,2073,true,true,true,false,TILE_004_001,GROUP_f2c132f8d1962d0f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906982,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690927.190,5336198.110,690976.690,5336245.030,,0,0,212,1983,1464,true,true,true,false,TILE_003_007,GROUP_6e1c6ddc7a70ba88,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906983,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690938.550,5336252.080,690974.560,5336314.200,,0,0,111,1532,1159,true,true,true,false,TILE_003_008,GROUP_eff130d45912396d,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906984,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690963.750,5336276.000,690982.390,5336299.110,,0,0,91,464,407,true,true,true,false,TILE_003_008,GROUP_eff130d45912396d,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906985,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690973.730,5336261.050,691012.380,5336298.850,,0,0,123,1329,1042,true,true,true,false,TILE_004_008,GROUP_39f5da2969890937,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906986,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690991.419,5336317.302,691010.140,5336341.621,,0,0,78,461,371,true,true,true,false,TILE_004_009,GROUP_453e8e648a38a3b6,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906987,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691002.110,5336313.100,691018.610,5336338.140,,0,0,82,408,362,true,true,true,false,TILE_004_009,GROUP_453e8e648a38a3b6,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906988,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691010.140,5336335.610,691023.550,5336355.390,,0,0,73,236,209,true,true,true,false,TILE_004_009,GROUP_453e8e648a38a3b6,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906989,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690966.772,5336325.722,690988.240,5336351.652,,0,0,64,338,389,true,true,true,false,TILE_003_009,GROUP_8de3e3fdd8d9d633,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906990,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690974.910,5336346.100,690996.420,5336369.250,,0,0,60,72,139,true,true,true,false,TILE_003_009,GROUP_8de3e3fdd8d9d633,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906991,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,691001.700,5336338.140,691016.940,5336358.640,,0,0,70,241,235,true,true,true,false,TILE_004_009,GROUP_453e8e648a38a3b6,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906997,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690946.557,5336353.498,690963.169,5336374.162,,0,0,46,1,11,true,true,true,false,TILE_003_009,GROUP_8de3e3fdd8d9d633,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4906998,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690929.600,5336337.440,690956.570,5336357.590,,0,0,48,228,351,true,true,true,false,TILE_003_009,GROUP_8de3e3fdd8d9d633,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4906999,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690911.470,5336344.810,690933.840,5336362.850,,0,0,43,7,167,true,true,true,false,TILE_002_009,GROUP_6342ff46814e3d4f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4907000,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690895.340,5336351.800,690915.600,5336368.830,,0,0,40,0,22,true,true,true,false,TILE_002_009,GROUP_6342ff46814e3d4f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907011,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690828.452,5336348.984,690847.668,5336366.304,,0,0,55,0,62,true,true,true,false,TILE_000_009,GROUP_7805fa2316d2e6ac,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907012,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690851.934,5336344.180,690860.205,5336357.295,,0,0,48,0,87,true,true,true,false,TILE_001_009,GROUP_31bde00dfdbe7a9e,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907013,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690843.209,5336345.651,690856.384,5336360.618,,0,0,51,0,107,true,true,true,false,TILE_001_009,GROUP_31bde00dfdbe7a9e,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907014,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690856.256,5336340.647,690872.815,5336355.833,,0,0,49,0,208,true,true,true,false,TILE_001_009,GROUP_31bde00dfdbe7a9e,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907015,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690868.866,5336335.275,690886.972,5336351.040,,0,0,49,0,233,true,true,true,false,TILE_001_009,GROUP_31bde00dfdbe7a9e,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907016,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690882.709,5336326.106,690908.836,5336345.678,,0,0,47,0,375,true,true,true,false,TILE_002_009,GROUP_6342ff46814e3d4f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907017,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690904.534,5336317.651,690931.007,5336337.423,,0,0,54,38,384,true,true,true,false,TILE_002_009,GROUP_6342ff46814e3d4f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4907018,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690926.659,5336306.415,690945.030,5336329.021,,0,0,54,337,342,true,true,true,false,TILE_002_009,GROUP_6342ff46814e3d4f,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4907019,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690880.783,5336296.026,690897.991,5336317.390,,0,0,56,0,260,true,true,true,false,TILE_001_008,GROUP_fc729eee422ba598,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907020,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690917.060,5336280.890,690938.300,5336310.860,,0,0,62,434,420,true,true,true,false,TILE_002_008,GROUP_7ebc6caa3c71be68,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4907021,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690864.735,5336255.747,690883.395,5336280.280,,0,0,65,0,296,true,true,true,false,TILE_001_008,GROUP_fc729eee422ba598,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907022,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690872.852,5336276.008,690891.109,5336300.147,,0,0,61,0,320,true,true,true,false,TILE_001_008,GROUP_fc729eee422ba598,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907023,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690902.649,5336244.884,690919.458,5336263.254,,0,0,87,275,266,true,true,true,false,TILE_002_007,GROUP_4bca58b22f72e437,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4907024,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690908.202,5336258.709,690928.238,5336285.449,,0,0,78,377,372,true,true,true,false,TILE_002_008,GROUP_7ebc6caa3c71be68,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4907025,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690885.614,5336214.569,690913.984,5336249.426,,0,0,115,684,603,true,true,true,false,TILE_002_007,GROUP_4bca58b22f72e437,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4907026,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690876.499,5336220.659,690890.539,5336236.856,,0,0,91,124,216,true,true,true,false,TILE_001_007,GROUP_c62fe4e3afc0a9a7,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4907027,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690840.870,5336230.204,690865.574,5336249.398,,0,0,62,3,207,true,true,true,false,TILE_001_007,GROUP_c62fe4e3afc0a9a7,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907028,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690861.173,5336224.224,690880.913,5336241.513,,0,0,80,18,277,true,true,true,false,TILE_001_007,GROUP_c62fe4e3afc0a9a7,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT
DEBY_LOD2_4907029,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690836.227,5336289.981,690860.238,5336330.360,,0,0,60,0,448,true,true,true,false,TILE_001_008,GROUP_fc729eee422ba598,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
DEBY_LOD2_4907030,CANONICAL_SCENE_AOI_BUILDING_ID_EVALUATED_BY_INDEPENDENT_UAS_ROOF_SUPPORT,690828.098,5336238.087,690845.634,5336254.434,,0,0,58,0,63,true,true,true,false,TILE_000_007,GROUP_e7c4be077114c5f3,NOT_E_PAIRED,false,INSUFFICIENT_INDEPENDENT_UAS_REFERENCE_SUPPORT;INSUFFICIENT_MVS_SUPPORT
