processing_order,building_id,cohort,correspondence_capable,image_name,pose_path,pose_sha256,camera_sha256,image_sha256,class6_total,class6_inframe,class2_total,class2_inframe,selection_rule,selection_role,png_path,png_sha256,role
11,DEBY_LOD2_4907186,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,3466,3466,3500,3500,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/011__DEBY_LOD2_4907186__DJI_20241217094534_0023_D.png,e6a5ebe8c12b40107e29cb81664cf7fb00a01544286a219439c40cd298f39920,qualitative_only_no_gate
12,DEBY_LOD2_4907188,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,3291,3291,3022,3022,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/012__DEBY_LOD2_4907188__DJI_20241217094534_0023_D.png,550b13470be5ce7efa3c1b9ec1199fe4717b6526211ebb2f10e4fa2bc73fc4fc,qualitative_only_no_gate
13,DEBY_LOD2_4907195,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,3907,3907,3166,3166,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/013__DEBY_LOD2_4907195__DJI_20241217094534_0023_D.png,66e4629bcc872f90ccf19552f567cef21aa800d39f637f2db3fa464f34b9a70b,qualitative_only_no_gate
14,DEBY_LOD2_4907198,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,7348,7348,6912,6912,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/014__DEBY_LOD2_4907198__DJI_20241217094534_0023_D.png,48ed0d122d521ae8ae1e5e78da5084476b48c1ca9ca97f974896b92f7d411f77,qualitative_only_no_gate
15,DEBY_LOD2_4907202,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,3245,3245,3965,3965,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/015__DEBY_LOD2_4907202__DJI_20241217094534_0023_D.png,7070e90bb5da99dc488f38020c91e767d452a50a542484ff0918a223aa344292,qualitative_only_no_gate
16,DEBY_LOD2_4908168,core,true,DJI_20241217084841_0184_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,e47b9e399c835dca5f9ded3b76c2bd68f936ecae9ab9c28f1b4c2e6e44e8239b,600,600,2211,2194,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/016__DEBY_LOD2_4908168__DJI_20241217084841_0184_D.png,f891c83aebcb643cc002a1f971b138fb31089fc534f49c0410a28ca7167c0590,qualitative_only_no_gate
17,DEBY_LOD2_4908178,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,2089,2089,3344,3344,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/017__DEBY_LOD2_4908178__DJI_20241217094534_0023_D.png,87937a9d2b2f268da00d5af8e03813b88d9010d506045b27ae9123bef418119a,qualitative_only_no_gate
18,DEBY_LOD2_60098,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,4011,4011,4070,4070,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/018__DEBY_LOD2_60098__DJI_20241217094534_0023_D.png,694bea365d7f09179e534bf871de801e277dd4d75df836b59f16590ba14d0932,qualitative_only_no_gate
19,DEBY_LOD2_4907199,core,false,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,2047,2047,2264,2264,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/019__DEBY_LOD2_4907199__DJI_20241217094534_0023_D.png,5dd5dc688bb7ee0f58219659ba75c8994fbbe4af18bf45faa67442253fbfb43b,qualitative_only_no_gate
20,DEBY_LOD2_4908049,core,true,DJI_20241217084813_0170_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,33510d46adde7795a5ae65d5b28f38ea17efda9fd6169d995374e49074d7321c,556,556,2732,1810,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/020__DEBY_LOD2_4908049__DJI_20241217084813_0170_D.png,e4dcb58cffc668ba99b9db06f481d52a49914b5f6bd0b95aeea25063a7dd8eb0,qualitative_only_no_gate
21,DEBY_LOD2_104586480,core,true,DJI_20241217084609_0108_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,28a9c274d630c7cf619d1ce0d9e4f79508d3a3ecd96fa1028167f0a79bbc791d,176,176,822,822,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/021__DEBY_LOD2_104586480__DJI_20241217084609_0108_D.png,3990e5aa24b1165eaf86fb8f210fe4ecedf2d8c4cae58c4dfe75dd95dfd1482d,qualitative_only_no_gate
22,DEBY_LOD2_4908048,core,true,DJI_20241217084813_0170_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,33510d46adde7795a5ae65d5b28f38ea17efda9fd6169d995374e49074d7321c,733,733,2796,2434,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/022__DEBY_LOD2_4908048__DJI_20241217084813_0170_D.png,983875182b057c239265ef3a32bf620ce9e83653746b9fb2cf3279bf30fe277e,qualitative_only_no_gate
23,DEBY_LOD2_4908051,core,false,DJI_20241217094947_0020_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,16463d6f9e13d0cb69ef79f1095add0423011b72719a9a3f1be874c6311105a5,1405,1405,4460,4161,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/023__DEBY_LOD2_4908051__DJI_20241217094947_0020_D.png,51ca5e4b1254525ab9fb825888376cd69018f192d8c200587ee83324fe035483,qualitative_only_no_gate
24,DEBY_LOD2_108247350,core,false,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,168,168,709,709,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/024__DEBY_LOD2_108247350__DJI_20241217094534_0023_D.png,beef69fd452355f7de190b52852e283a26728fec51163f5591441e758c7f095a,qualitative_only_no_gate
25,DEBY_LOD2_4907168,core,true,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,3036,3036,3630,3630,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/025__DEBY_LOD2_4907168__DJI_20241217094534_0023_D.png,61f8f5a2f6ba919c1a136480a233171319cb3223a1adc0031e9fab4b87b83250,qualitative_only_no_gate
26,DEBY_LOD2_4908164,core,false,DJI_20241217094534_0023_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,c45eeb0f16bebbea2e5cad12ab21a7674b95e19ae2f9c40dc05b527fda9868f2,568,568,1991,1991,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/026__DEBY_LOD2_4908164__DJI_20241217094534_0023_D.png,416e9a9ee1813eb17d6c3dc307ff159d6e22bf3937865b91ea8d65811520a681,qualitative_only_no_gate
27,DEBY_LOD2_4908023,core,true,DJI_20241217084721_0144_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,33f268b809dc67b636219ff93d52f32b16332bab8cf8648a9fdd2f5f1b8d53e7,448,448,2179,2140,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/027__DEBY_LOD2_4908023__DJI_20241217084721_0144_D.png,20f55da63f19c2cdc83c83dccafca9b85cb7f18ba7ac2c21c6e2a2c9b7fb84f5,qualitative_only_no_gate
28,DEBY_LOD2_4908028,core,true,DJI_20241217084539_0093_D.JPG,results/tum_transfer/fusion_w1_pose_adoption_v2/derived_sparse/0/images.bin,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5,652bbe3f674512358edcb148527131581475f0a30b93a8b5250718e30e388f99,44a7a6635109f306c4e4d3af4ec80c3a0a7898c881fc147487fd46223c04e03a,434,434,1290,1150,maximum_corrected_pose_class6_inframe_count_then_image_name,display_only_not_a_gate,phases/p2-gsjso/runs/20260724_fusion_w1/resume_v2/w1_align_overlays_v2/028__DEBY_LOD2_4908028__DJI_20241217084539_0093_D.png,b1eeb9e85a112b7da5e1296d971e8d37f4aaa312ff26362c6faffe1fe033528e,qualitative_only_no_gate
