building_id,batch,old_class,area_m2,dim_rf_pt_density,n_views_nadir,recon_score_median,frac_views_incidence_le60,roof_lowtex_v5,lowtex_v5_zenith_deg,veto_recovered,label,reason,judge,date,small_flag,elong_flag,bbox_aspect_ratio,isoperimetric,als_points_in_footprint,locator_zenith_deg,low_als_evidence
DEBY_LOD2_4907174,2,미분류,260.43,0.0,0.0,83.247,0.132,0.533,61.575,,가림,recessed 다락층 2단 구조(42364607 가족); 가림 근사 0.0은 근사 한계,김휘영,2026-07-04,0,0,1.503,2.047,4782.0,57.067,0
DEBY_LOD2_4908161,2,경계_방법회복,454.5,0.0,0.0,85.954,0.127,0.391,75.204,raw_acmp,가림,U자 안마당 둘레 recessed 띠·가림 0.7; ACMP 회복(방법 차이 각주),김휘영,2026-07-04,0,1,1.327,5.243,7328.0,58.496,0
DEBY_LOD2_4907019,3,경계_방법회복,206.42,0.0,0.0,0.318,0.175,0.671,84.752,raw_acmp,관측각·커버리지,관측점수 0.318(확실 임계 1.461 미만)·수직뷰 0; 경사뷰비율 0.175만 p10 상회해 자동규칙 미포착; 재질 정상 붉은 기와; 가림 가족(관측충분+국지 차폐)과 달리 관측 자체 결손; ACMP 회복(방법 차이 각주),김휘영,2026-07-04,0,0,1.242,1.359,3816.0,76.952,0
DEBY_LOD2_4907021,3,경계_방법회복,249.03,0.0,0.0,72.404,0.148,0.239,61.739,raw_acmp,가림,관측충분(72.4) 실패의 눈 확인 사례; 앞 능선 뒤 recessed 평지붕(ALS 돔 융기 ~582)+나목 가지; 42364607·4907174 가족 구도; 가림 근사 0.0은 근사 한계; ACMP 회복(방법 차이 각주),김휘영,2026-07-04,0,0,1.315,1.413,2702.0,76.106,0
DEBY_LOD2_4907022,3,A2_촬영경계,240.91,0.0,0.0,64.384,0.125,0.706,86.536,,가림,관측충분(64.4) 실패; 4907021 인접 동일 블록 recessed 평지붕·표면 어둡게 보임(그늘/방수면); lowtex 0.706은 86.5° 스침 측정 참고불가; ACMP도 미회복,김휘영,2026-07-04,0,0,1.322,1.41,2663.0,76.512,0
DEBY_LOD2_4907036,3,A1_촬영확실,187.85,0.0,0.0,0.0,0.225,0.549,84.245,,관측각·커버리지,관측점수 0.0·수직뷰 0 — 지붕 뷰 짝 전무(4907032·34 동형·심부 북서); 재질 정상 기와+도머,김휘영,2026-07-04,0,0,1.138,1.301,2076.0,71.268,0
DEBY_LOD2_4907167,3,미분류,203.19,8.396285,0.0,0.09,0.745,0.648,83.357,,관측각·커버리지,관측점수 0.09·수직뷰 0; 경사뷰 많으나(0.745) 한 방향 몰림=시차 짝 부재; DIM 154점은 동쪽 가장자리 텍스처 강부만(높이 574-580=지붕·길바닥 아님); 어두운 기와는 부차,김휘영,2026-07-04,0,0,1.18,1.326,3821.0,67.383,0
DEBY_LOD2_4908158,3,미분류,182.59,0.0,0.0,45.769,0.093,0.602,76.162,,관측각·커버리지,결손면=망사르드 평평한 상부대; 수직뷰 0·경사뷰비율 0.093(p10 미만)=스침각; 기와 텍스처 정상·역광 아님; 4907174 가족 블록이나 원인은 스침각,김휘영,2026-07-04,0,0,1.747,2.076,3554.0,58.001,0
DEBY_LOD2_4907030,4,A1_촬영확실,177.42,0.0,0.0,3.245,0.228,0.644,85.964,,관측각·커버리지,관측점수 3.2·수직뷰 0 — 뷰 짝 사실상 전무(심부 북서 4907036 줄); 재질 정상 기와+채광창; lowtex 0.644는 86.0° 스침 측정 참고불가,김휘영,2026-07-04,0,0,1.073,1.336,1929.0,67.675,0
DEBY_LOD2_4907031,4,A1_촬영확실,163.72,0.0,0.0,0.912,0.199,0.578,83.914,,관측각·커버리지,관측점수 0.9·수직뷰 0(같은 줄); 재질 정상 기와+지붕창; ALS 완비,김휘영,2026-07-04,0,0,1.069,1.28,1717.0,68.979,0
DEBY_LOD2_4907033,4,A1_촬영확실,128.95,0.0,0.0,0.0,0.251,0.719,84.315,,관측각·커버리지,관측점수 0.0·수직뷰 0 — 뷰 짝 전무(4907031·36 사이); 재질 정상,김휘영,2026-07-04,0,0,1.038,1.275,1311.0,70.091,0
DEBY_LOD2_4908051,4,A1_촬영확실,141.53,0.0,0.0,66.734,0.103,0.197,60.606,,가림,관측충분(66.7) 실패; 가림 근사 1.0 최대 — 지상 5m 낮은 부속 띠가 높은 이웃 벽에 밀착; 스침각도 나쁘나(경사뷰비율 0.103) 10% 뷰는 유효 — 결정 요인은 전면 차폐; 표면 텍스처 정상(0.197@60.6°),김휘영,2026-07-04,0,0,1.728,1.964,1405.0,72.868,0
DEBY_LOD2_4908052,4,A1_촬영확실,143.56,0.0,0.0,55.406,0.001,0.327,59.692,,복합(스침각+가림),관측충분(55.4)이나 경사뷰비율 0.001=≤60° 입사 뷰 전무(극단 스침각)+가림 근사 0.5; 골목형 3단 띠(564/570/580); 두 요인 모두 크고 분리 불가(4907012 선례),김휘영,2026-07-04,0,0,1.813,2.204,1553.0,74.059,0
DEBY_LOD2_4908157,4,E_폐색,165.05,0.0,0.0,70.6,0.102,0.517,73.659,raw_acmp,가림,관측충분(70.6) 실패; 가림 근사 0.7; 안마당 쪽 recessed 발코니 띠(로지아 가구 확인)·ALS조차 구멍(42364607 동형); 옛 분류 폐색(E)과 합치; ACMP 회복(방법 차이 각주),김휘영,2026-07-04,0,0,1.166,1.682,1965.0,55.444,0
DEBY_LOD2_4907013,5,A2_촬영경계,116.32,0.0,0.0,0.0,0.295,0.392,85.794,,관측각·커버리지,관측점수 0.0·수직뷰 0 — 뷰 짝 전무(심부 북서·4907014·15 이웃); 밝은 평지붕 재질 이슈 없음,김휘영,2026-07-04,0,0,1.136,1.3,2234.0,78.957,0
DEBY_LOD2_4907187,5,미분류,119.91,0.0,0.0,83.434,0.45,0.541,74.011,,가림,관측충분(83.4)이나 실체=앞 블록 뒤 낮은 안마당 뒤채(ALS 565~572·중앙 구멍=드리움); 이 시점에서 실물 비가시·링은 재투영 겹침; 가림 근사 0.25는 근사 한계(4907174 선례),김휘영,2026-07-04,0,0,1.012,1.713,2087.0,55.059,0
DEBY_LOD2_4907199,5,미분류,98.35,10.666667,0.0,84.618,0.109,0.656,60.507,raw_acmp,무텍스처,관측 최상급(84.6·근수직 22.5° 뷰 존재)인데 DIM 2점 — 풍화 어두운 역청 멤브레인 저대비가 주인; 가림 0.273 약함·동측 나뭇가지는 국지; 108247351 재질 계열; ACMP 회복(방법 차이 각주); DIMdens 10.67은 버퍼 잔재 각주(키트 클립 n=2),김휘영,2026-07-04,0,0,1.272,1.362,2034.0,22.54,0
DEBY_LOD2_4908045,5,A2_촬영경계,55.84,0.0,0.0,71.143,0.067,0.539,60.202,,가림,관측충분(71.1) 실패; 가림 근사 0.8 — 높은 황벽돌 벽에 낀 지상 5m 부속 지붕(4908051 동형); 스침각(0.067)은 부차,김휘영,2026-07-04,0,0,1.336,1.413,887.0,75.201,0
DEBY_LOD2_4908162,5,미분류,104.74,0.0,0.0,101.797,0.161,0.533,60.444,,무텍스처,관측 최상급(101.8)·경사뷰비율 0.161·가림 0.364 약함·ALS 완비인데 DIM 0 — 관측·가림으로 설명 불가; 실체=어두운 갈색 균일 기와(저대비); 링 신뢰성 교차검증(42364607 상호 이웃·좌표 인접·높이 정합) 통과,김휘영,2026-07-04,0,0,1.009,1.709,2110.0,57.059,0
DEBY_LOD2_4908170,5,미분류,72.81,0.0,0.0,49.008,0.053,0.603,60.539,,복합(재질+가림),어두운 기와(4908162 동일 블록)+가림 근사 0.571(굴뚝·도머 국지)+스침각(경사뷰비율 0.053) 중첩 — 단독 귀속 불가; 관측점수 49.0 충분,김휘영,2026-07-04,0,0,1.47,1.552,1427.0,58.521,0
DEBY_LOD2_4908044,6,A1_촬영확실,46.3,0.0,0.0,68.517,0.053,0.312,60.302,,가림,관측충분(68.5) 실패; 가림 근사 0.86 — 황벽돌 고층 벽에 낀 낮은(565) 자갈지붕 띠(4908051·45 계열); 스침각(0.053) 부차; 소형 플래그,김휘영,2026-07-04,1,0,1.243,1.351,800.0,75.504,0
DEBY_LOD2_4908049,6,B_무텍스처,49.09,23.692308,0.0,106.77,0.437,0.482,59.928,,무텍스처,근수직 뷰(23.6°)·관측점수 106.8인데 DIM 지붕점 0(154점 전부 지면 561~563 누출=4906999 길바닥 패턴); 실체=풍화 적갈 멤브레인; 가림 0.6이나 수직 방향 열림 — 재질 주인; DIMdens 23.7=지면 누출 각주; 소형 플래그,김휘영,2026-07-04,1,0,1.215,1.347,556.0,23.626,0
DEBY_LOD2_4908053,6,A1_촬영확실,36.31,0.0,0.0,57.838,0.0,0.344,60.065,,관측각·커버리지,경사뷰비율 0.0 — ≤60° 입사 뷰 전무(전 뷰 스침); 관측점수 57.8이나 스침각 결정; 가림 0.25 약함; 기와 능선 옆 2단 조각; 소형·저증거 플래그(ALS 393),김휘영,2026-07-04,1,0,1.081,1.283,393.0,74.164,1
DEBY_LOD2_4908054,6,경계_방법회복,33.6,0.0,0.0,61.151,0.0,0.653,59.365,raw_acmp,관측각·커버리지,4908053 옆 동형; 경사뷰비율 0.0·가림 0.25; ACMP 회복(방법 차이 각주); 소형·저증거 플래그(ALS 368),김휘영,2026-07-04,1,0,1.044,1.276,368.0,74.455,1
DEBY_LOD2_4908159,6,E_폐색,37.63,0.0,0.0,40.581,0.002,0.65,59.489,,가림,가림 가족 블록(4907174·4908157)의 발코니 사이 조각 — recessed 발코니(가구) 실물 확인·ALS 구멍; 가림 0.67; 스침각 0.002 병존하나 구도는 가림 전형; 소형·저증거 플래그(ALS 462),김휘영,2026-07-04,1,0,1.046,1.28,462.0,54.095,1
DEBY_LOD2_8568391,6,미분류,55.53,11.2,1.02,86.872,0.098,0.536,22.119,,무텍스처,수직뷰 1장·관측점수 86.9·lowtex 0.536@22° 유효 측정 — 관측 흠 없음; 골판 금속(1D 리브 텍스처 매칭 모호+녹줄); DIM 14점,김휘영,2026-07-04,0,0,1.328,1.398,925.0,10.548,0
DEBY_LOD2_108247350,7,F_소형,12.14,9.142858,0.0,67.515,0.098,0.49,59.583,raw_acmp,복합(소형+가림),12㎡ 채광정(shaft) — ALS 대부분 바닥(~566)만·링 재투영 겹침(4907187 동형); 가림 0.63; ACMP 회복(방법 차이 각주); 저증거 플래그(ALS 162),김휘영,2026-07-04,1,0,1.185,1.417,162.0,53.722,1
DEBY_LOD2_4908160,7,A2_촬영경계,8.49,0.0,0.0,70.89,0.075,0.59,59.288,,복합(소형+가림),8.5㎡ 초소형·가림 근사 1.0·ALS 70점 산발(저증거) — 어두운 기와 블록(4908162) 위 조각; 증거 희박으로 세부 분리 불가,김휘영,2026-07-04,1,0,1.328,1.431,70.0,60.414,1
DEBY_LOD2_4908164,7,미분류,33.27,0.0,0.0,104.52,0.187,0.734,59.974,,복합(소형+재질),관측점수 104.5 양호인데 DIM 0; 금속 심 지붕+검은 천창 유리 띠(유리=반사·투과·금속 심=1D 텍스처); lowtex 0.734@60.0° 유효 경계; 33㎡ 소형,김휘영,2026-07-04,1,0,1.262,1.378,567.0,55.863,0
DEBY_LOD2_4908165,7,E_폐색,8.83,5.25,0.0,93.768,0.125,0.502,59.844,,복합(소형+가림),8.8㎡ 초소형·가림 0.73; 근수직 26° 뷰·관측점수 93.8; DIM 22점=이웃 지붕(578~580) 누출; 마당 구석 어두운 낮은 지붕 모서리; 저증거 플래그(ALS 166),김휘영,2026-07-04,1,0,1.42,1.501,166.0,26.012,1
DEBY_LOD2_4908167,7,미분류,33.59,0.0,1.88,163.982,0.264,0.729,29.811,raw_acmp,복합(소형+재질),관측 전체 최상(점수 164·수직뷰 1.9)인데 실패 — 관측 설명 불가; 34㎡ 낮은 뒷채: 기와+검은 패널(태양광=반사·저조도)+금속 접합 혼합면; lowtex 0.729@29.8° 유효; ACMP 회복(방법 차이 각주),김휘영,2026-07-04,1,0,1.025,1.275,603.0,19.496,0
DEBY_LOD2_4908169,7,E_폐색,16.93,0.0,3.0,127.817,0.163,0.821,59.649,raw_acmp,복합(소형+재질),수직뷰 3장·관측점수 127.8 — 관측 흠 없음; 17㎡ 낮은 어두운 기와 조각·lowtex 0.821 유효각(그룹 최고); 가림 0.86 병존하나 수직뷰 3장이 재질 쪽 무게; ACMP 회복; 저증거 플래그(ALS 290),김휘영,2026-07-04,1,0,1.118,1.366,290.0,21.096,1
DEBY_LOD2_104583794,8,F_소형,6.39,0.0,0.0,72.081,0.109,0.3,58.203,,복합(소형+가림),6.4㎡ 최소형 — 도머 사이 기와 조각(가림 가족 블록·도머 그림자 걸침); Roofer 최소 평면 성립 곤란 크기+국지 가림 결합; 저증거 플래그(ALS 108),김휘영,2026-07-04,1,0,1.388,1.47,108.0,55.773,1
DEBY_LOD2_8568392,8,E_폐색,5.8,12.444445,2.25,94.587,0.082,0.549,18.909,,복합(소형+재질),5.8㎡ 최소형·완전 수직뷰(8.7°) 2.3장·관측점수 94.6 — 관측 완벽; 골판 창고 모서리(적갈 도장+회색 골판); DIM 49점=지면·이웃 혼합 누출; 저증거 플래그(ALS 86),김휘영,2026-07-04,1,0,1.018,1.274,86.0,8.702,1
