selection_order,building_id,image_name,class6_npz_path,class6_valid_pixels_n,class6_outer_edge_masked_pixels_n,class2_npz_path,class2_valid_pixels_n,class2_outer_edge_masked_pixels_n,combined_depth_path,combined_normal_path,combined_valid_mask_path,photo_support_mask_path,photo_support_valid_pixels_n,combined_valid_pixels_n,combined_class6_pixels_n,combined_class2_pixels_n,pose_sha256
11,DEBY_LOD2_42364609,DJI_20241217084833_0180_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217084833_0180_D.JPG.npz,540,1387,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217084833_0180_D.JPG.npz,16864,27478,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217084833_0180_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217084833_0180_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217084833_0180_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217084833_0180_D.npy,2614,17192,540,16652,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
12,DEBY_LOD2_42364609,DJI_20241217095125_0069_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095125_0069_D.JPG.npz,0,32,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095125_0069_D.JPG.npz,366,980,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095125_0069_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095125_0069_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095125_0069_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095125_0069_D.npy,59,366,0,366,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
13,DEBY_LOD2_42364609,DJI_20241217102529_0017_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217102529_0017_D.JPG.npz,8,63,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217102529_0017_D.JPG.npz,727,1841,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217102529_0017_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217102529_0017_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217102529_0017_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217102529_0017_D.npy,93,735,8,727,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
14,DEBY_LOD2_42364609,DJI_20241217102937_0014_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217102937_0014_D.JPG.npz,134,477,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217102937_0014_D.JPG.npz,7807,13988,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217102937_0014_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217102937_0014_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217102937_0014_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217102937_0014_D.npy,731,7879,134,7745,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
15,DEBY_LOD2_42364609,DJI_20241217095121_0067_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095121_0067_D.JPG.npz,0,35,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095121_0067_D.JPG.npz,370,985,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095121_0067_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095121_0067_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095121_0067_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095121_0067_D.npy,59,370,0,370,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
16,DEBY_LOD2_42364609,DJI_20241217094536_0024_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217094536_0024_D.JPG.npz,0,36,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217094536_0024_D.JPG.npz,222,672,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217094536_0024_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217094536_0024_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217094536_0024_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217094536_0024_D.npy,42,222,0,222,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
17,DEBY_LOD2_42364609,DJI_20241217084835_0181_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217084835_0181_D.JPG.npz,574,1371,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217084835_0181_D.JPG.npz,14906,22631,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217084835_0181_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217084835_0181_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217084835_0181_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217084835_0181_D.npy,2702,15285,574,14711,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
18,DEBY_LOD2_42364609,DJI_20241217095149_0081_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217095149_0081_D.JPG.npz,0,26,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217095149_0081_D.JPG.npz,257,894,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217095149_0081_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217095149_0081_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217095149_0081_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217095149_0081_D.npy,56,257,0,257,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
19,DEBY_LOD2_42364609,DJI_20241217094953_0023_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217094953_0023_D.JPG.npz,0,34,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217094953_0023_D.JPG.npz,232,727,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217094953_0023_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217094953_0023_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217094953_0023_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217094953_0023_D.npy,78,232,0,232,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
20,DEBY_LOD2_42364609,DJI_20241217084831_0179_D.JPG,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class6/DJI_20241217084831_0179_D.JPG.npz,623,1314,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/class2/DJI_20241217084831_0179_D.JPG.npz,19379,31766,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/depth_maps/DJI_20241217084831_0179_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/stereo/normal_maps/DJI_20241217084831_0179_D.JPG.geometric.bin,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/supervision/valid_masks/DJI_20241217084831_0179_D.JPG.npy,phases/p2-gsjso/runs/20260724_fusion_w1/preprocess_v1/pose_28b38383a0b6d826/by_building/DEBY_LOD2_42364609/photo_support_masks/DJI_20241217084831_0179_D.npy,2614,19757,623,19134,28b38383a0b6d82656108e8f0e5e79711dcda93948ab2e89c1cd8f47215962a5
